function,category,coverage,current_entry,documented_return,documented_scope,remaining_work,evidence_urls
TDTransferLinearToGamma1_8,色彩／Transfer／Gamut,缺獨立入口,,vec3,M／T；stage 依原生 overload,依原生精度及 overload 設接口；vec4 的 alpha／預乘行為需要驗證。,https://derivative.ca/UserGuide/Write_a_GLSL_MAT ; https://derivative.ca/UserGuide/Write_a_GLSL_TOP
TDTransferLinearToGamma2_2,色彩／Transfer／Gamut,缺獨立入口,,vec3,M／T；stage 依原生 overload,依原生精度及 overload 設接口；vec4 的 alpha／預乘行為需要驗證。,https://derivative.ca/UserGuide/Write_a_GLSL_MAT ; https://derivative.ca/UserGuide/Write_a_GLSL_TOP
TDTransferLinearToGamma2_4,色彩／Transfer／Gamut,缺獨立入口,,vec3,M／T；stage 依原生 overload,依原生精度及 overload 設接口；vec4 的 alpha／預乘行為需要驗證。,https://derivative.ca/UserGuide/Write_a_GLSL_MAT ; https://derivative.ca/UserGuide/Write_a_GLSL_TOP
TDTransferLinearToGamma2_6,色彩／Transfer／Gamut,缺獨立入口,,vec3,M／T；stage 依原生 overload,依原生精度及 overload 設接口；vec4 的 alpha／預乘行為需要驗證。,https://derivative.ca/UserGuide/Write_a_GLSL_MAT ; https://derivative.ca/UserGuide/Write_a_GLSL_TOP
TDTransferLinearToGamma2_8,色彩／Transfer／Gamut,缺獨立入口,,vec3,M／T；stage 依原生 overload,依原生精度及 overload 設接口；vec4 的 alpha／預乘行為需要驗證。,https://derivative.ca/UserGuide/Write_a_GLSL_MAT ; https://derivative.ca/UserGuide/Write_a_GLSL_TOP
TDTransferLinearToRec709,色彩／Transfer／Gamut,缺獨立入口,,vec3,M／T；stage 依原生 overload,依原生精度及 overload 設接口；vec4 的 alpha／預乘行為需要驗證。,https://derivative.ca/UserGuide/Write_a_GLSL_MAT ; https://derivative.ca/UserGuide/Write_a_GLSL_TOP
TDTransferLinearToSRGB,色彩／Transfer／Gamut,缺獨立入口,,vec3／vec4,M／T；stage 依原生 overload,依原生精度及 overload 設接口；vec4 的 alpha／預乘行為需要驗證。,https://derivative.ca/UserGuide/Write_a_GLSL_MAT ; https://derivative.ca/UserGuide/Write_a_GLSL_TOP
TDTransferLinearToST2084PQ,色彩／Transfer／Gamut,缺獨立入口,,vec3,M／T；stage 依原生 overload,依原生精度及 overload 設接口；vec4 的 alpha／預乘行為需要驗證。,https://derivative.ca/UserGuide/Write_a_GLSL_MAT ; https://derivative.ca/UserGuide/Write_a_GLSL_TOP
TDTransferRec709ToLinear,色彩／Transfer／Gamut,缺獨立入口,,vec3,M／T；stage 依原生 overload,依原生精度及 overload 設接口；vec4 的 alpha／預乘行為需要驗證。,https://derivative.ca/UserGuide/Write_a_GLSL_MAT ; https://derivative.ca/UserGuide/Write_a_GLSL_TOP
TDTransferSRGBToLinear,色彩／Transfer／Gamut,缺獨立入口,,vec3／vec4,M／T；stage 依原生 overload,依原生精度及 overload 設接口；vec4 的 alpha／預乘行為需要驗證。,https://derivative.ca/UserGuide/Write_a_GLSL_MAT ; https://derivative.ca/UserGuide/Write_a_GLSL_TOP
TDTransferST2084PQToLinear,色彩／Transfer／Gamut,缺獨立入口,,vec3,M／T；stage 依原生 overload,依原生精度及 overload 設接口；vec4 的 alpha／預乘行為需要驗證。,https://derivative.ca/UserGuide/Write_a_GLSL_MAT ; https://derivative.ca/UserGuide/Write_a_GLSL_TOP
TDTranslate,數值與矩陣,缺獨立入口,,mat4,M／T；stage 依原生 overload,沿用現有純量／矩陣型別；補節點定義、overload 與原生編譯／數值驗證。,https://derivative.ca/UserGuide/Write_a_GLSL_MAT ; https://derivative.ca/UserGuide/Write_a_GLSL_TOP
TDTricubicInterpolation,取樣與座標映射,缺獨立入口,,vec4,M／T；stage 依原生 overload,分開純座標運算與 sampler overload；檢查 2D／3D 資源取得及 Stage。,https://derivative.ca/UserGuide/Write_a_GLSL_MAT ; https://derivative.ca/UserGuide/Write_a_GLSL_TOP
TDTriplanarBlend,取樣與座標映射,缺獨立入口,,vec4,M／T；stage 依原生 overload,分開純座標運算與 sampler overload；檢查 2D／3D 資源取得及 Stage。,https://derivative.ca/UserGuide/Write_a_GLSL_MAT ; https://derivative.ca/UserGuide/Write_a_GLSL_TOP
TDTrueCameraIndex,來源,已有來源入口,builtin_source:TDTrueCameraIndex,int,MAT V,無資料運算輸入或只有 index／layer；全部 overload／Stage 仍須另核對。,https://derivative.ca/UserGuide/Write_a_GLSL_MAT ; ../../src/core/sgrape_core.py
TDUVUnwrapCoord,來源,已有來源入口,builtin_source:TDUVUnwrapCoord,vec3,MAT V,無資料運算輸入或只有 index／layer；全部 overload／Stage 仍須另核對。,https://derivative.ca/UserGuide/Write_a_GLSL_MAT ; ../../src/core/sgrape_core.py
TDWorldToProj,運算,已有節點,to_clip,vec4,MAT V／G；G 需 camera index,按函式名稱已有入口；不是全部原生 overload／Stage 的完成保證。,https://derivative.ca/UserGuide/Write_a_GLSL_MAT
TDWritePickingValues,Picking,缺獨立入口,,void,M；stage 依原生 overload,需 Render Pick 執行分支與 payload／輸出契約，不能只補函式名稱。,https://derivative.ca/UserGuide/Write_a_GLSL_MAT
TDZigZag,運算,已有節點,zigzag,float,M／T；stage 依原生 overload,按函式名稱已有入口；不是全部原生 overload／Stage 的完成保證。,https://derivative.ca/UserGuide/Write_a_GLSL_MAT ; https://derivative.ca/UserGuide/Write_a_GLSL_TOP
